soil_moisture,temperature,humidity,rainfall,crop,pump
11,34,96,12,tea,0
83,19,78,6,rice,0
40,32,82,19,tea,0
74,22,46,9,tea,0
27,23,82,6,rice,0
15,29,86,13,rice,0
51,35,50,7,rice,0
77,13,91,13,rice,0
13,28,47,6,cotton,0
13,16,41,16,maize,0
74,29,91,6,maize,0
50,19,22,15,rice,0
52,29,74,8,maize,0
64,20,95,18,maize,0
28,16,50,8,rice,0
30,32,81,2,maize,1
67,21,64,14,tea,0
39,27,37,5,wheat,0
16,17,48,12,wheat,0
78,32,93,10,rice,0
73,25,88,13,cotton,0
11,24,53,17,rice,0
76,10,69,9,cotton,0
88,24,66,5,wheat,0
83,19,97,7,rice,0
18,18,83,15,pulses,0
32,33,89,4,tea,1
23,24,58,6,maize,0
63,26,23,5,cotton,0
54,25,67,11,pulses,0
25,30,83,10,maize,0
81,31,87,13,maize,0
66,33,76,11,rice,0
17,19,21,8,maize,0
34,32,46,11,tea,0
50,25,32,10,pulses,0
71,14,38,3,maize,0
86,10,40,6,rice,0
27,13,92,19,tea,0
59,34,30,3,wheat,0
50,17,54,15,pulses,0
43,35,93,0,maize,1
21,35,60,4,rice,1
89,11,78,3,wheat,0
86,11,25,18,wheat,0
84,17,40,1,cotton,0
87,21,33,15,tea,0
51,22,62,7,maize,0
64,28,69,1,rice,0
68,14,58,8,cotton,0
60,34,64,0,tea,0
62,27,95,18,cotton,0
18,33,58,9,pulses,0
12,27,70,17,tea,0
17,12,81,13,tea,0
68,16,29,6,maize,0
39,32,93,18,tea,0
76,14,57,11,cotton,0
64,10,31,7,tea,0
43,27,84,14,maize,0
52,16,55,14,maize,0
37,33,32,7,pulses,0
46,31,38,19,cotton,0
39,12,75,2,wheat,1
80,28,50,10,wheat,0
71,39,46,12,tea,0
38,18,72,1,pulses,0
11,12,31,14,rice,0
66,31,79,3,tea,0
66,12,40,1,pulses,0
51,22,43,2,cotton,0
58,35,81,1,cotton,0
66,22,41,14,cotton,0
80,28,50,7,cotton,0
27,37,32,10,cotton,0
79,34,61,6,pulses,0
36,33,53,4,pulses,0
63,16,53,9,maize,0
33,12,46,15,wheat,0
43,20,87,0,cotton,1
31,39,90,0,rice,1
72,30,45,2,pulses,0
45,10,69,3,rice,1
70,39,40,15,rice,0
51,11,36,14,rice,0
42,18,51,4,maize,1
83,12,46,8,pulses,0
18,14,63,7,rice,0
34,13,85,0,cotton,1
22,17,59,12,tea,0
56,36,54,18,rice,0
54,26,40,15,maize,0
14,31,25,17,pulses,0
40,15,51,16,maize,0
40,33,85,17,rice,0
80,26,31,16,pulses,0
50,29,33,1,tea,1
55,26,89,19,rice,0
61,23,21,9,maize,0
14,34,42,13,wheat,0
21,15,72,5,cotton,0
30,32,35,13,maize,0
18,38,37,19,pulses,0
26,26,21,14,rice,0
33,35,85,17,cotton,0
36,13,64,8,rice,0
17,36,71,15,pulses,0
53,32,75,8,rice,0
71,29,67,15,wheat,0
38,23,85,4,cotton,1
83,36,71,13,cotton,0
33,30,29,5,pulses,0
43,26,35,0,wheat,0
69,23,71,19,maize,0
40,12,41,10,rice,0
13,17,82,10,tea,0
18,36,35,7,rice,0
86,22,78,9,rice,0
63,39,52,13,maize,0
10,37,59,13,rice,0
70,23,44,8,wheat,0
82,37,60,10,wheat,0
40,21,30,8,cotton,0
54,34,58,18,pulses,0
69,38,31,13,tea,0
82,17,25,8,rice,0
51,20,23,18,rice,0
36,37,73,9,maize,0
67,29,96,8,pulses,0
78,21,67,5,wheat,0
82,35,85,16,tea,0
43,10,94,12,cotton,0
19,29,52,1,wheat,1
75,31,75,19,pulses,0
34,11,66,19,cotton,0
12,32,60,3,maize,1
43,38,42,0,maize,1
80,28,55,19,rice,0
37,33,84,4,pulses,0
18,13,96,3,tea,1
20,34,37,19,cotton,0
89,21,26,2,wheat,0
48,10,59,11,pulses,0
22,19,87,1,pulses,1
20,10,93,5,maize,0
44,39,90,16,rice,0
17,14,58,19,rice,0
16,34,62,11,cotton,0
78,31,44,11,maize,0
79,20,63,11,pulses,0
66,11,88,15,tea,0
44,18,47,0,maize,1
20,21,58,17,cotton,0
47,16,71,16,cotton,0
87,25,79,10,maize,0
58,30,45,5,cotton,0
44,16,20,4,maize,1
38,36,30,8,wheat,0
50,18,20,3,maize,0
15,33,64,14,maize,0
19,17,33,12,cotton,0
32,18,84,8,cotton,0
55,36,33,4,rice,1
21,28,29,8,rice,0
64,26,75,12,wheat,0
22,21,22,10,rice,0
83,21,69,2,maize,0
16,13,43,13,cotton,0
21,18,70,12,rice,0
70,19,89,16,rice,0
34,26,79,0,wheat,1
11,19,85,10,pulses,0
35,21,23,3,wheat,1
60,26,37,12,maize,0
78,15,88,12,cotton,0
71,13,34,7,wheat,0
81,25,53,18,rice,0
82,26,59,0,cotton,0
48,25,57,11,cotton,0
20,13,38,8,rice,0
73,36,83,19,wheat,0
89,15,87,14,rice,0
51,17,40,3,pulses,0
19,18,50,13,cotton,0
28,35,73,8,tea,0
13,37,93,9,tea,0
12,15,27,2,maize,1
23,39,37,1,rice,1
19,23,77,9,rice,0
15,22,96,2,maize,1
40,27,85,15,maize,0
40,38,29,10,maize,0
57,37,68,3,cotton,0
18,31,64,4,pulses,1
85,26,83,8,rice,0
35,26,33,10,cotton,0
11,26,86,16,maize,0
13,38,63,9,rice,0
15,31,84,14,cotton,0
39,24,98,5,pulses,0
64,24,64,1,cotton,0
37,37,55,10,pulses,0
70,20,58,16,maize,0
86,16,93,4,pulses,0
64,26,76,19,rice,0
45,21,96,15,maize,0
83,28,50,2,rice,0
83,28,44,11,tea,0
14,16,40,12,wheat,0
38,29,27,15,pulses,0
21,18,27,9,wheat,0
31,34,37,0,wheat,1
68,35,36,9,pulses,0
48,13,58,6,maize,0
11,39,93,13,tea,0
23,28,31,17,rice,0
19,22,73,14,cotton,0
57,38,88,8,rice,0
73,31,39,11,cotton,0
12,24,61,16,rice,0
81,18,56,13,pulses,0
69,19,46,16,tea,0
77,39,90,2,cotton,0
30,17,35,8,maize,0
28,16,34,2,rice,1
88,16,80,5,rice,0
29,30,79,8,cotton,0
67,18,20,11,maize,0
51,27,37,12,maize,0
19,22,75,3,pulses,1
32,36,84,0,pulses,1
21,25,60,0,pulses,1
18,30,29,4,pulses,1
88,14,76,0,pulses,0
38,14,50,18,pulses,0
29,17,40,16,tea,0
74,24,20,19,maize,0
12,22,52,16,pulses,0
17,10,38,7,maize,0
48,21,37,19,maize,0
73,36,65,3,wheat,0
40,24,30,14,tea,0
81,13,94,2,pulses,0
88,26,75,13,rice,0
31,30,48,10,cotton,0
14,32,22,7,rice,0
67,11,38,16,tea,0
82,27,87,14,cotton,0
88,21,54,5,tea,0
72,32,64,6,maize,0
70,39,30,9,cotton,0
61,11,69,6,maize,0
42,21,71,6,rice,0
31,36,44,17,rice,0
60,27,94,3,cotton,0
20,25,35,0,cotton,1
67,31,45,11,pulses,0
59,14,93,5,tea,0
79,26,90,5,pulses,0
26,20,24,1,tea,1
55,16,20,18,pulses,0
53,27,49,5,maize,0
66,11,43,14,cotton,0
14,37,39,11,rice,0
48,12,68,16,tea,0
67,18,34,17,tea,0
18,10,66,12,rice,0
32,37,57,11,pulses,0
56,37,90,9,tea,0
45,37,30,13,maize,0
40,33,64,2,cotton,1
32,27,32,15,rice,0
65,24,67,12,cotton,0
80,20,74,15,tea,0
55,34,23,4,tea,0
67,14,49,6,rice,0
45,18,67,1,maize,0
77,23,86,11,wheat,0
69,36,89,15,rice,0
23,21,75,0,wheat,1
34,19,64,7,pulses,0
80,18,22,12,wheat,0
88,30,35,2,maize,0
53,11,30,5,pulses,0
55,18,71,0,wheat,0
22,24,91,7,pulses,0
71,33,70,13,wheat,0
28,28,29,6,maize,0
21,25,53,10,wheat,0
57,10,44,0,wheat,0
42,30,41,15,wheat,0
88,27,34,6,rice,0
46,34,72,14,rice,0
15,14,36,10,rice,0
52,16,20,3,maize,0
59,10,26,19,pulses,0
55,26,60,10,tea,0
82,24,80,8,wheat,0
37,17,72,6,wheat,0
76,23,26,14,maize,0
20,17,51,12,wheat,0
29,25,58,1,rice,1
39,21,44,16,tea,0
45,33,30,14,cotton,0
85,16,39,12,wheat,0
77,14,55,2,rice,0
45,10,80,0,cotton,1
67,39,57,18,tea,0
37,33,25,15,cotton,0
48,35,86,2,rice,1
75,20,64,8,pulses,0
52,32,46,17,pulses,0
14,21,86,7,cotton,0
22,23,29,11,maize,0
18,21,29,3,cotton,1
66,21,74,3,wheat,0
36,12,50,16,wheat,0
70,16,25,3,pulses,0
86,30,43,15,maize,0
59,35,98,18,rice,0
43,36,98,17,wheat,0
74,19,22,5,pulses,0
54,19,53,12,tea,0
43,13,66,13,pulses,0
82,26,38,11,wheat,0
17,19,49,2,wheat,1
57,11,53,11,pulses,0
45,27,71,7,rice,0
75,35,81,14,cotton,0
20,37,86,8,wheat,0
61,11,53,6,pulses,0
45,18,74,14,pulses,0
40,31,20,6,maize,0
33,22,90,7,cotton,0
30,14,78,7,tea,0
39,35,52,6,rice,0
81,29,56,10,tea,0
73,18,69,6,cotton,0
48,24,89,16,cotton,0
10,34,22,11,cotton,0
51,35,54,16,tea,0
86,37,35,7,cotton,0
14,32,66,2,pulses,1
21,30,53,18,tea,0
38,31,54,4,cotton,1
12,28,83,9,pulses,0
70,27,60,15,maize,0
60,19,65,10,cotton,0
45,19,24,18,tea,0
84,13,79,14,wheat,0
11,12,73,5,cotton,0
38,29,69,9,wheat,0
50,35,37,14,pulses,0
38,20,68,17,maize,0
73,26,60,9,rice,0
67,10,43,12,maize,0
19,31,49,18,cotton,0
20,20,34,19,wheat,0
16,35,35,10,wheat,0
86,13,37,4,tea,0
70,25,20,5,wheat,0
75,11,30,18,tea,0
62,12,58,17,pulses,0
74,33,93,18,rice,0
36,15,28,14,cotton,0
16,27,58,2,tea,1
74,32,36,0,rice,0
67,27,54,14,wheat,0
34,10,93,18,wheat,0
57,14,52,14,rice,0
13,21,98,19,wheat,0
17,39,72,17,pulses,0
77,35,83,5,pulses,0
69,34,92,17,rice,0
13,14,92,2,tea,1
17,10,46,17,tea,0
25,27,41,1,rice,1
28,29,61,8,tea,0
10,14,72,10,tea,0
43,27,84,12,pulses,0
54,12,65,11,tea,0
72,31,33,8,maize,0
15,31,50,11,cotton,0
45,35,91,5,wheat,0
75,10,32,8,maize,0
87,19,24,11,tea,0
17,33,47,16,pulses,0
76,36,23,9,rice,0
36,31,48,17,tea,0
43,28,94,9,pulses,0
37,27,51,16,cotton,0
40,24,62,9,tea,0
26,36,33,7,rice,0
64,34,82,18,pulses,0
84,20,22,14,pulses,0
18,33,90,10,pulses,0
66,39,65,11,cotton,0
54,12,53,12,tea,0
15,16,63,11,cotton,0
23,16,33,13,wheat,0
40,21,37,15,wheat,0
63,10,64,1,tea,0
20,31,64,8,cotton,0
78,12,44,13,rice,0
11,23,73,16,pulses,0
26,35,21,8,pulses,0
45,28,52,2,tea,1
12,30,63,16,wheat,0
72,38,62,1,wheat,0
52,31,78,15,pulses,0
42,18,59,10,tea,0
87,22,75,2,cotton,0
38,14,21,13,wheat,0
32,12,25,18,cotton,0
68,26,73,13,wheat,0
58,37,89,9,wheat,0
64,28,42,15,maize,0
84,13,77,5,wheat,0
37,19,26,2,rice,1
80,39,24,0,tea,0
81,32,66,12,tea,0
34,14,67,10,cotton,0
16,28,22,16,wheat,0
82,18,98,19,rice,0
84,38,91,11,cotton,0
43,35,50,3,maize,1
31,31,42,2,cotton,1
76,30,99,17,cotton,0
59,25,98,8,wheat,0
57,32,68,0,maize,0
81,38,56,14,cotton,0
79,21,38,0,rice,0
66,35,92,17,rice,0
34,26,51,14,tea,0
75,17,81,14,maize,0
25,32,39,12,maize,0
67,22,79,17,tea,0
50,30,30,16,cotton,0
60,31,53,4,maize,0
30,24,72,0,rice,1
88,18,68,7,rice,0
65,10,84,6,wheat,0
56,24,58,17,maize,0
52,36,87,7,cotton,0
40,12,73,3,tea,1
24,24,87,11,tea,0
57,38,42,14,cotton,0
71,20,82,0,pulses,0
79,38,76,12,wheat,0
12,18,55,14,tea,0
47,28,71,10,maize,0
67,31,38,7,wheat,0
76,35,40,10,maize,0
54,27,98,17,rice,0
53,34,63,8,wheat,0
17,30,51,4,tea,1
75,33,52,13,wheat,0
80,27,79,2,wheat,0
70,36,88,17,wheat,0
26,33,25,14,pulses,0
80,37,20,5,wheat,0
45,30,34,4,maize,0
77,12,76,6,rice,0
89,22,20,12,cotton,0
30,15,38,8,wheat,0
55,15,41,19,tea,0
55,20,45,0,wheat,0
25,33,25,16,tea,0
31,32,79,11,maize,0
15,18,74,19,tea,0
65,26,85,19,cotton,0
54,33,66,0,rice,1
67,26,65,15,tea,0
37,18,69,7,tea,0
26,36,96,15,rice,0
45,35,40,10,cotton,0
21,28,45,15,wheat,0
59,12,23,10,tea,0
68,37,87,13,rice,0
21,37,72,15,maize,0
71,23,48,1,rice,0
49,24,43,13,maize,0
11,28,80,14,cotton,0
34,10,85,3,wheat,1
83,32,75,1,rice,0
40,37,29,14,pulses,0
56,13,88,1,tea,0
69,24,73,15,cotton,0
82,24,39,4,rice,0
50,12,86,15,tea,0
59,14,57,9,rice,0
32,37,35,5,maize,0
21,10,73,5,rice,0
80,25,22,15,pulses,0
31,39,83,18,rice,0
65,25,47,17,rice,0
25,25,77,4,pulses,1
67,24,49,8,cotton,0
81,36,61,14,rice,0
60,14,84,19,pulses,0
15,11,94,11,tea,0
11,17,91,18,maize,0
71,24,45,1,maize,0
51,18,74,4,rice,1
52,18,76,12,cotton,0
61,12,99,9,cotton,0
67,24,32,13,tea,0
29,33,60,14,rice,0
65,27,67,15,maize,0
76,26,64,6,cotton,0
68,10,99,0,rice,0
57,32,26,4,cotton,0
44,20,50,3,pulses,0
17,10,99,1,cotton,1
85,15,99,15,maize,0
41,33,66,17,wheat,0
54,38,36,15,tea,0
76,35,51,4,tea,0
36,21,44,2,maize,1
12,29,57,17,cotton,0
66,27,76,19,rice,0
74,23,28,18,cotton,0
29,22,87,0,maize,1
80,36,89,10,tea,0
50,20,64,3,cotton,0
10,29,84,15,tea,0
83,34,28,0,rice,0
85,27,84,15,tea,0
13,30,85,12,tea,0
80,36,88,2,wheat,0
19,27,49,12,wheat,0
38,26,30,3,pulses,0
24,37,37,17,wheat,0
28,34,53,9,tea,0
67,14,67,2,maize,0
62,15,25,2,tea,0
55,31,44,17,maize,0
27,17,44,8,maize,0
12,13,91,4,wheat,1
79,10,38,14,cotton,0
31,24,81,2,rice,1
64,16,52,2,wheat,0
73,25,57,11,wheat,0
50,15,73,12,cotton,0
17,16,46,1,rice,1
74,33,52,6,tea,0
12,30,69,16,pulses,0
38,15,35,6,pulses,0
79,22,70,3,tea,0
27,38,45,5,wheat,0
67,11,69,2,rice,0
10,14,50,6,wheat,0
31,12,80,2,maize,1
32,30,54,11,wheat,0
17,18,87,9,wheat,0
38,12,27,17,tea,0
53,21,89,8,tea,0
71,39,99,1,tea,0
28,39,35,8,pulses,0
68,12,68,9,maize,0
89,26,97,19,tea,0
28,24,25,18,rice,0
31,39,80,13,pulses,0
77,39,73,5,cotton,0
14,37,73,4,rice,1
14,26,63,3,rice,1
34,16,52,5,tea,0
33,18,51,17,cotton,0
10,27,98,7,cotton,0
37,11,45,11,pulses,0
56,26,22,2,cotton,0
69,30,54,0,maize,0
28,35,45,4,tea,1
23,32,90,3,cotton,1
79,23,85,12,pulses,0
17,26,48,12,maize,0
46,20,64,19,wheat,0
81,33,40,11,wheat,0
19,10,87,2,maize,1
76,10,33,4,pulses,0
22,29,89,0,maize,1
48,24,80,16,tea,0
73,11,29,3,tea,0
39,21,26,1,wheat,1
13,22,81,17,cotton,0
54,34,64,18,pulses,0
15,19,51,18,wheat,0
25,11,71,13,cotton,0
31,32,99,11,cotton,0
30,39,44,4,tea,1
74,11,60,2,rice,0
39,26,64,18,rice,0
33,18,21,7,maize,0
73,23,23,18,tea,0
22,20,29,13,cotton,0
35,29,99,10,pulses,0
29,21,40,2,rice,1
70,16,24,14,cotton,0
15,10,64,13,rice,0
52,33,67,7,rice,0
58,25,25,18,rice,0
18,24,45,0,pulses,1
46,22,38,9,tea,0
25,15,69,5,pulses,0
13,11,62,0,wheat,1
41,18,98,14,cotton,0
26,10,42,5,tea,0
50,18,60,2,tea,1
54,19,33,15,tea,0
25,11,37,2,tea,1
29,31,40,12,pulses,0
51,34,86,4,tea,1
19,28,34,2,maize,1
61,37,33,16,cotton,0
69,23,55,11,tea,0
57,12,34,19,cotton,0
32,25,96,8,maize,0
42,28,35,16,maize,0
86,18,36,0,cotton,0
34,11,25,13,rice,0
59,13,56,17,wheat,0
79,33,47,10,rice,0
88,20,91,17,rice,0
64,17,43,10,pulses,0
77,25,87,18,rice,0
87,14,86,19,tea,0
13,11,57,16,pulses,0
37,24,77,15,pulses,0
38,15,42,11,maize,0
57,17,39,1,rice,1
81,11,86,7,maize,0
22,13,59,11,cotton,0
52,13,20,11,wheat,0
18,21,40,6,pulses,0
49,34,69,13,cotton,0
55,35,29,2,cotton,0
67,10,49,11,tea,0
65,18,48,1,wheat,0
21,24,22,3,cotton,1
34,17,31,4,cotton,1
25,26,88,6,wheat,0
60,24,63,3,wheat,0
89,19,96,1,cotton,0
81,31,22,14,wheat,0
62,22,37,17,cotton,0
61,20,77,3,cotton,0
76,25,91,0,tea,0
33,35,58,15,rice,0
23,24,76,6,cotton,0
31,27,34,15,maize,0
40,21,36,12,pulses,0
67,12,35,12,rice,0
78,37,61,18,rice,0
28,30,83,11,rice,0
62,33,23,19,tea,0
11,31,41,7,cotton,0
62,34,89,6,tea,0
76,21,98,18,cotton,0
56,38,88,8,tea,0
62,36,34,19,tea,0
66,10,48,19,pulses,0
34,14,86,16,maize,0
44,29,79,5,tea,0
38,17,51,15,pulses,0
85,38,52,7,wheat,0
26,14,20,9,maize,0
89,34,99,9,tea,0
58,27,84,8,rice,0
65,17,45,4,wheat,0
82,22,62,2,wheat,0
12,26,46,18,pulses,0
31,17,77,17,wheat,0
23,39,73,7,maize,0
12,39,65,3,tea,1
47,34,44,10,tea,0
30,36,38,0,rice,1
60,12,28,19,pulses,0
33,27,49,11,rice,0
54,21,64,18,wheat,0
78,22,74,0,rice,0
53,30,30,6,maize,0
56,18,54,1,tea,0
66,33,36,17,wheat,0
28,25,77,12,rice,0
43,10,47,16,pulses,0
12,10,21,14,maize,0
48,17,96,7,maize,0
84,39,40,0,rice,0
69,12,61,7,tea,0
19,23,86,18,rice,0
49,23,95,11,wheat,0
11,26,38,8,rice,0
54,35,24,1,maize,0
36,10,53,17,rice,0
62,13,70,5,tea,0
18,15,61,4,pulses,1
10,34,62,4,cotton,1
42,24,52,5,rice,0
47,30,92,6,tea,0
66,22,86,13,tea,0
42,32,40,10,pulses,0
57,18,38,7,maize,0
12,30,82,4,tea,1
41,16,86,2,tea,1
86,34,30,2,tea,0
30,15,44,2,tea,1
77,18,82,1,wheat,0
26,15,58,12,wheat,0
51,20,93,17,maize,0
77,15,79,0,rice,0
21,12,64,14,tea,0
54,30,20,15,pulses,0
45,38,66,0,rice,1
89,32,69,2,pulses,0
60,27,90,6,rice,0
16,23,36,8,maize,0
42,15,50,15,tea,0
57,11,46,0,tea,0
75,34,50,10,cotton,0
42,19,37,16,pulses,0
87,37,92,1,rice,0
36,28,90,6,rice,0
56,39,67,11,wheat,0
75,32,45,7,cotton,0
52,16,48,12,wheat,0
89,14,75,2,wheat,0
28,24,77,13,wheat,0
77,19,87,11,pulses,0
19,37,50,14,pulses,0
31,11,94,12,maize,0
85,30,65,7,maize,0
75,11,32,18,wheat,0
11,28,84,11,cotton,0
27,17,53,12,rice,0
89,15,50,1,pulses,0
28,35,61,12,cotton,0
39,21,80,13,tea,0
15,39,81,12,pulses,0
36,35,34,11,pulses,0
24,25,46,3,maize,1
40,38,61,14,rice,0
53,25,83,2,rice,1
85,24,58,19,tea,0
19,19,20,15,tea,0
30,13,92,1,pulses,1
56,17,95,1,wheat,0
64,35,28,14,maize,0
45,18,87,15,maize,0
83,30,50,1,pulses,0
67,26,68,10,cotton,0
28,15,59,10,wheat,0
73,34,22,2,pulses,0
19,31,36,9,wheat,0
58,25,53,11,wheat,0
63,31,61,0,wheat,0
70,30,51,0,pulses,0
68,16,58,0,maize,0
11,38,73,14,maize,0
84,29,62,17,wheat,0
17,13,85,9,cotton,0
28,13,30,12,rice,0
89,18,27,15,pulses,0
77,23,54,5,rice,0
23,19,46,0,cotton,1
31,28,92,9,pulses,0
26,35,92,14,wheat,0
72,12,36,19,maize,0
35,20,21,12,rice,0
45,28,41,12,tea,0
54,12,80,16,tea,0
39,22,21,18,cotton,0
30,21,36,15,wheat,0
29,22,86,13,rice,0
51,33,41,9,wheat,0
65,34,52,1,rice,0
21,38,74,11,cotton,0
17,33,89,3,cotton,1
72,29,73,12,tea,0
65,19,61,4,wheat,0
16,32,59,11,pulses,0
71,29,95,5,tea,0
70,19,36,10,wheat,0
19,10,52,6,tea,0
59,32,58,8,pulses,0
29,12,44,11,maize,0
37,23,77,16,maize,0
23,30,97,5,maize,0
85,25,65,17,maize,0
17,39,25,6,rice,0
16,28,53,1,maize,1
14,10,31,17,pulses,0
10,18,67,8,cotton,0
82,11,69,2,cotton,0
19,27,40,8,rice,0
67,15,65,3,maize,0
74,26,58,14,maize,0
69,17,78,13,maize,0
29,29,28,10,tea,0
67,12,96,6,wheat,0
52,30,96,13,tea,0
38,33,38,6,wheat,0
11,10,26,11,maize,0
35,30,94,3,maize,1
84,34,93,18,tea,0
68,27,97,19,tea,0
10,17,94,5,wheat,0
40,11,72,3,cotton,1
47,32,40,14,wheat,0
31,18,74,14,tea,0
75,30,60,7,pulses,0
56,20,58,19,tea,0
10,25,94,16,pulses,0
59,18,46,11,rice,0
45,26,60,6,tea,0
54,24,80,18,rice,0
45,16,43,8,cotton,0
43,13,84,9,wheat,0
18,32,79,15,pulses,0
85,24,97,5,wheat,0
13,26,69,6,rice,0
88,32,77,12,pulses,0
72,32,29,12,wheat,0
13,39,30,10,tea,0
14,19,77,4,maize,1
19,37,98,3,rice,1
53,21,55,19,wheat,0
49,35,84,2,rice,1
45,25,93,18,rice,0
44,16,49,8,pulses,0
68,19,26,14,pulses,0
74,39,31,9,maize,0
40,11,56,6,tea,0
55,38,97,14,rice,0
58,31,28,15,wheat,0
15,21,66,5,cotton,0
79,28,93,15,rice,0
28,36,23,3,rice,1
51,15,87,0,maize,0
39,30,98,3,tea,1
35,36,98,14,cotton,0
12,29,76,11,pulses,0
42,33,95,12,pulses,0
59,11,50,8,wheat,0
40,32,61,3,cotton,1
77,29,81,7,pulses,0
19,23,31,9,wheat,0
31,16,29,1,tea,1
72,14,72,7,wheat,0
63,30,39,3,pulses,0
60,18,78,3,maize,0
13,22,42,15,maize,0
46,24,99,11,maize,0
80,14,86,15,pulses,0
72,17,26,19,maize,0
60,16,67,2,cotton,0
17,39,86,2,tea,1
10,21,45,8,wheat,0
17,29,34,10,wheat,0
64,38,85,4,pulses,0
18,33,74,17,maize,0
60,32,31,3,maize,0
25,21,73,12,rice,0
62,29,25,13,tea,0
68,31,90,5,cotton,0
54,23,66,2,wheat,0
46,32,51,3,rice,1
75,25,44,5,rice,0
73,22,78,14,pulses,0
45,35,98,16,wheat,0
85,22,82,8,pulses,0
59,24,38,12,cotton,0
62,20,56,18,rice,0
66,37,67,6,rice,0
28,32,33,9,tea,0
35,17,45,10,cotton,0
77,18,72,17,rice,0
52,14,89,11,cotton,0
67,11,26,9,wheat,0
86,19,29,5,maize,0
68,37,92,11,rice,0
55,22,23,19,tea,0
77,24,42,16,wheat,0
49,30,94,9,cotton,0
22,23,27,15,pulses,0
18,20,94,13,wheat,0
75,23,86,13,rice,0
62,16,70,0,cotton,0
85,38,25,1,maize,0
13,23,57,15,wheat,0
23,12,39,16,rice,0
17,19,32,15,tea,0
71,30,49,10,pulses,0
54,15,58,16,cotton,0
76,15,40,4,wheat,0
71,29,80,16,wheat,0
87,12,38,16,maize,0
79,25,53,9,maize,0
45,20,59,13,tea,0
10,29,23,7,pulses,0
69,26,32,16,tea,0
83,33,81,6,rice,0
22,21,75,15,rice,0
21,12,86,15,tea,0
84,13,30,2,pulses,0
26,20,56,5,tea,0
56,39,82,7,pulses,0
62,18,39,17,pulses,0
76,38,80,5,cotton,0
19,35,27,18,pulses,0
55,34,75,19,maize,0
13,38,97,12,pulses,0
66,15,61,2,pulses,0
47,29,42,14,pulses,0
21,36,79,3,rice,1
40,33,81,12,maize,0
11,32,25,18,maize,0
10,31,27,14,tea,0
34,31,74,18,cotton,0
14,18,97,17,pulses,0
57,29,41,9,wheat,0
23,23,41,8,cotton,0
61,38,45,2,cotton,0
83,15,30,14,maize,0
30,25,83,16,cotton,0
34,27,33,8,pulses,0
76,18,37,4,pulses,0
59,16,27,2,rice,1
42,33,73,16,pulses,0
26,27,30,15,pulses,0
79,21,53,11,maize,0
43,14,85,3,pulses,0
35,23,31,10,rice,0
51,34,86,7,wheat,0
40,23,73,14,maize,0
60,38,40,12,wheat,0
45,12,74,7,maize,0
